timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743794571.6742384,811.9048,809.4872,806.26373,820.7692,nan,nan,,,,,,,,,,
1743794571.6781423,795.38464,791.75824,800.2198,826.8132,nan,nan,,,,,,,,,,
1743794571.6782289,,,,,,,,,,,,,nan,280587040.0,nan,
1743794571.6820464,780.4762,803.44324,799.41394,807.0696,nan,nan,,,,,,,,,,
1743794571.6859503,790.54944,809.0842,800.2198,811.0989,nan,nan,,,,,,,,,,
1743794571.6877239,,,,,,,0.023071289,0.12164307,1.0112305,,,,,,,
1743794571.6898541,817.9487,812.71063,800.2198,820.7692,nan,nan,,,,,,,,,,
1743794571.6937582,826.8132,800.6227,804.65204,833.663,nan,nan,,,,,,,,,,
1743794571.6938426,,,,,,,,,,,,,nan,280565280.0,nan,
1743794571.6976621,797.8022,801.8315,807.8755,833.2601,nan,nan,,,,,,,,,,
1743794571.7002728,,,,,,,,,,1610915.8,1609304.0,,,,,
1743794571.7015660,788.93774,823.9927,812.3077,824.3956,nan,nan,,,,,,,,,,
1743794571.7054701,808.68134,816.337,810.293,821.5751,nan,nan,,,,,,,,,,
1743794571.7073345,,,,,,,0.020141602,0.12390137,1.0065918,,,,,,,
1743794571.7093740,816.7399,802.6374,810.293,842.52747,nan,nan,,,,,,,,,,
1743794571.7094564,,,,,,,,,,,,,nan,280511300.0,nan,
1743794571.7132778,793.36993,793.7729,811.50183,832.8571,nan,nan,,,,,,,,,,
1743794571.7171819,778.0586,804.2491,813.5165,801.02563,nan,nan,,,,,,,,,,
1743794571.7210858,799.011,801.8315,817.1429,822.381,nan,nan,,,,,,,,,,
1743794571.7249897,811.9048,791.3553,810.696,836.8865,nan,nan,,,,,,,,,,
1743794571.7250705,,,,,,,,,,,,,nan,280558000.0,nan,
1743794571.7269449,,,,,,,0.018798828,0.120788574,1.003479,,,,,,,
1743794571.7288935,794.57874,793.7729,811.0989,810.696,nan,nan,,,,,,,,,,
1743794571.7327976,787.326,806.6667,815.5311,794.57874,nan,nan,,,,,,,,,,
1743794571.7353940,,,,,,,,,,1610915.8,1609304.0,,,,,
1743794571.7367015,797.8022,817.9487,814.3223,807.0696,nan,nan,,,,,,,,,,
1743794571.7406054,805.4579,803.0403,805.8608,823.1868,nan,nan,,,,,,,,,,
1743794571.7406843,,,,,,,,,,,,,nan,280477440.0,nan,
1743794571.7445095,789.7436,803.44324,799.41394,814.7253,nan,nan,,,,,,,,,,
1743794571.7465556,,,,,,,0.016723633,0.11694336,1.0007324,,,,,,,
1743794571.7484133,770.80585,817.5458,800.6227,801.8315,nan,nan,,,,,,,,,,
1743794571.7523172,778.46155,807.8755,800.2198,808.2784,nan,nan,,,,,,,,,,
1743794571.7562213,798.20514,796.1905,799.011,821.1722,nan,nan,,,,,,,,,,
1743794571.7562983,,,,,,,,,,,,,nan,280540300.0,nan,
1743794571.7601252,813.1135,787.326,799.81683,824.3956,nan,nan,,,,,,,,,,
1743794571.7640290,801.4286,798.60803,802.23444,809.4872,nan,nan,,,,,,,,,,
1743794571.7661662,,,,,,,0.017333984,0.11651611,1.0046997,,,,,,,
1743794571.7679329,781.685,802.23444,804.2491,780.4762,nan,nan,,,,,,,,,,
1743794571.7705152,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.7718370,803.8461,810.696,808.2784,799.41394,nan,nan,,,,,,,,,,
1743794571.7719121,,,,,,,,,,,,,nan,280514500.0,nan,
1743794571.7757409,826.0073,806.26373,806.6667,815.12823,nan,nan,,,,,,,,,,
1743794571.7796447,803.44324,793.7729,805.4579,795.38464,nan,nan,,,,,,,,,,
1743794571.7835488,782.8938,809.0842,805.8608,781.28204,nan,nan,,,,,,,,,,
1743794571.7857766,,,,,,,0.019226074,0.11383057,1.0075684,,,,,,,
1743794571.7874527,796.5934,811.0989,805.05493,794.57874,nan,nan,,,,,,,,,,
1743794571.7875259,,,,,,,,,,,,,nan,280483870.0,nan,
1743794571.7913566,813.91943,811.50183,810.293,825.2015,nan,nan,,,,,,,,,,
1743794571.7952607,814.3223,819.15753,811.50183,814.3223,nan,nan,,,,,,,,,,
1743794571.7991645,787.326,813.1135,803.8461,786.1172,nan,nan,,,,,,,,,,
1743794571.8030684,794.57874,805.4579,801.4286,793.36993,nan,nan,,,,,,,,,,
1743794571.8031399,,,,,,,,,,,,,nan,280420220.0,nan,
1743794571.8053873,,,,,,,0.018554688,0.113708496,1.0115967,,,,,,,
1743794571.8056364,,,,,,,,,,1610915.8,1609304.0,,,,,
1743794571.8069725,826.4103,818.7546,811.50183,810.696,nan,nan,,,,,,,,,,
1743794571.8108764,813.1135,805.05493,815.12823,801.4286,nan,nan,,,,,,,,,,
1743794571.8147802,781.685,786.9231,804.65204,773.6264,nan,nan,,,,,,,,,,
1743794571.8186841,772.8205,804.2491,802.23444,770.40295,nan,nan,,,,,,,,,,
1743794571.8187537,,,,,,,,,,,,,nan,280513700.0,nan,
1743794571.8225882,800.6227,809.89014,802.6374,782.49084,nan,nan,,,,,,,,,,
1743794571.8249979,,,,,,,0.015319824,0.113342285,1.0117188,,,,,,,
1743794571.8264921,812.71063,798.20514,801.4286,791.3553,nan,nan,,,,,,,,,,
1743794571.8303959,793.7729,807.47253,803.0403,787.72894,nan,nan,,,,,,,,,,
1743794571.8343000,790.14655,820.7692,804.65204,785.31134,nan,nan,,,,,,,,,,
1743794571.8343678,,,,,,,,,,,,,nan,280439550.0,nan,
1743794571.8382039,820.3663,819.15753,800.6227,807.47253,nan,nan,,,,,,,,,,
1743794571.8407576,,,,,,,,,,1611721.6,1609304.0,,,,,
1743794571.8421078,841.31866,825.2015,801.8315,819.9634,nan,nan,,,,,,,,,,
1743794571.8446083,,,,,,,0.021118164,0.10992432,1.0107422,,,,,,,
1743794571.8460119,820.7692,812.3077,806.26373,806.6667,nan,nan,,,,,,,,,,
1743794571.8499157,795.78754,803.0403,806.6667,798.60803,nan,nan,,,,,,,,,,
1743794571.8499815,,,,,,,,,,,,,nan,280469380.0,nan,
1743794571.8538196,809.4872,809.4872,807.0696,806.6667,nan,nan,,,,,,,,,,
1743794571.8577237,834.87177,815.12823,801.8315,813.1135,nan,nan,,,,,,,,,,
1743794571.8616276,813.1135,805.8608,795.38464,803.8461,nan,nan,,,,,,,,,,
1743794571.8642190,,,,,,,0.0256958,0.117370605,1.0073242,,,,,,,
1743794571.8655314,782.0879,795.78754,798.60803,790.9524,nan,nan,,,,,,,,,,
1743794571.8655953,,,,,,,,,,,,,nan,280458900.0,nan,
1743794571.8694353,785.31134,802.6374,794.9817,794.17584,nan,nan,,,,,,,,,,
1743794571.8733394,815.5311,813.1135,794.9817,809.89014,nan,nan,,,,,,,,,,
1743794571.8758788,,,,,,,,,,1611721.6,1608498.1,,,,,
1743794571.8772433,816.7399,806.26373,797.8022,818.3516,nan,nan,,,,,,,,,,
1743794571.8811471,791.3553,805.05493,799.011,805.4579,nan,nan,,,,,,,,,,
1743794571.8812094,,,,,,,,,,,,,nan,280456480.0,nan,
1743794571.8838296,,,,,,,0.029968262,0.12414551,1.0080566,,,,,,,
