timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805550.6221023,794.9817,806.6667,803.0403,776.4469,nan,nan,,,,,,,,,,
1743805550.6234324,,,,,,,,,,,,,,nan,286506080.0,nan
1743805550.6260076,827.619,818.7546,817.5458,822.7839,nan,nan,,,,,,,,,,
1743805550.6299129,808.68134,776.04395,793.36993,807.8755,nan,nan,,,,,,,,,,
1743805550.6317170,,,,,,,,,,,,,29.118889,,,
1743805550.6338179,768.3883,760.7326,780.4762,763.1502,nan,nan,,,,,,,,,,
1743805550.6343753,,,,,,,-0.17553711,0.06958008,1.0009155,,,,,,,
1743805550.6377232,790.14655,808.2784,803.44324,780.4762,nan,nan,,,,,,,,,,
1743805550.6390522,,,,,,,,,,,,,,nan,286503650.0,nan
1743805550.6416285,822.381,808.2784,814.7253,825.2015,nan,nan,,,,,,,,,,
1743805550.6455336,804.65204,769.59705,794.57874,817.5458,nan,nan,,,,,,,,,,
1743805550.6494389,778.46155,768.3883,780.4762,778.86444,nan,nan,,,,,,,,,,
1743805550.6495016,,,,,,,,,,1612527.5,1609304.0,,,,,
1743805550.6533442,792.5641,799.011,795.78754,771.2088,nan,nan,,,,,,,,,,
1743805550.6539834,,,,,,,-0.17596436,0.0692749,0.9890747,,,,,,,
1743805550.6546717,,,,,,,,,,,,,,nan,286543140.0,nan
1743805550.6572492,813.5165,822.7839,821.1722,805.05493,nan,nan,,,,,,,,,,
1743805550.6611545,809.4872,793.7729,815.5311,824.3956,nan,nan,,,,,,,,,,
1743805550.6650598,786.9231,747.03296,790.14655,796.1905,nan,nan,,,,,,,,,,
1743805550.6689649,765.16486,762.74725,794.9817,761.13556,nan,nan,,,,,,,,,,
1743805550.6702912,,,,,,,,,,,,,,nan,286591500.0,nan
1743805550.6728702,800.6227,803.0403,827.619,796.1905,nan,nan,,,,,,,,,,
1743805550.6735916,,,,,,,-0.17388916,0.0758667,0.9942627,,,,,,,
1743805550.6767755,828.022,793.36993,819.9634,828.4249,nan,nan,,,,,,,,,,
1743805550.6806808,785.31134,762.3443,788.1319,797.8022,nan,nan,,,,,,,,,,
1743805550.6845858,772.4176,772.01465,792.1612,767.5824,nan,nan,,,,,,,,,,
1743805550.6846304,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.6859109,,,,,,,,,,,,,,nan,286589900.0,nan
1743805550.6884911,811.0989,811.50183,807.8755,772.01465,nan,nan,,,,,,,,,,
1743805550.6923964,832.8571,810.293,810.293,816.7399,nan,nan,,,,,,,,,,
1743805550.6931999,,,,,,,-0.17572021,0.07952881,0.9990845,,,,,,,
1743805550.6963015,802.23444,784.90845,796.5934,821.1722,nan,nan,,,,,,,,,,
1743805550.6980612,,,,,,,,,,,,,29.138203,,,
1743805550.7002068,774.43225,777.6557,782.8938,778.0586,nan,nan,,,,,,,,,,
1743805550.7015305,,,,,,,,,,,,,,nan,286623740.0,nan
1743805550.7041121,802.6374,793.7729,801.8315,778.0586,nan,nan,,,,,,,,,,
1743805550.7080171,836.4835,806.26373,821.978,826.4103,nan,nan,,,,,,,,,,
1743805550.7119224,811.50183,772.4176,799.011,813.1135,nan,nan,,,,,,,,,,
1743805550.7128079,,,,,,,-0.18096924,0.06756592,0.99798584,,,,,,,
1743805550.7158277,778.46155,762.3443,779.2674,774.83514,nan,nan,,,,,,,,,,
1743805550.7171500,,,,,,,,,,,,,,nan,286593920.0,nan
1743805550.7197328,790.9524,791.75824,788.5348,778.46155,nan,nan,,,,,,,,,,
1743805550.7197590,,,,,,,,,,1612527.5,1609304.0,,,,,
1743805550.7236381,819.15753,815.12823,811.9048,804.2491,nan,nan,,,,,,,,,,
1743805550.7275434,818.7546,792.1612,808.68134,830.0366,nan,nan,,,,,,,,,,
1743805550.7314484,792.5641,762.74725,783.2967,801.4286,nan,nan,,,,,,,,,,
1743805550.7324162,,,,,,,-0.1828003,0.056518555,0.9902954,,,,,,,
1743805550.7327697,,,,,,,,,,,,,,nan,286568130.0,nan
1743805550.7353537,788.93774,788.93774,794.57874,776.04395,nan,nan,,,,,,,,,,
1743805550.7392590,815.9341,811.0989,814.7253,802.6374,nan,nan,,,,,,,,,,
1743805550.7431641,821.978,812.3077,818.3516,827.2161,nan,nan,,,,,,,,,,
1743805550.7470694,791.3553,781.28204,794.9817,808.68134,nan,nan,,,,,,,,,,
1743805550.7483892,,,,,,,,,,,,,,nan,286660800.0,nan
1743805550.7509747,782.49084,780.87915,780.4762,776.8498,nan,nan,,,,,,,,,,
1743805550.7520242,,,,,,,-0.18682861,0.048461914,0.98657227,,,,,,,
1743805550.7548800,816.7399,812.3077,809.0842,798.60803,nan,nan,,,,,,,,,,
1743805550.7548876,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.7587850,831.2454,807.8755,817.1429,833.2601,nan,nan,,,,,,,,,,
1743805550.7626903,795.78754,777.6557,792.1612,830.84247,nan,nan,,,,,,,,,,
1743805550.7640088,,,,,,,,,,,,,,nan,286686600.0,nan
1743805550.7644053,,,,,,,,,,,,,29.118889,,,
1743805550.7665956,771.6117,768.7912,780.4762,790.54944,nan,nan,,,,,,,,,,
1743805550.7705007,792.1612,790.14655,794.17584,774.83514,nan,nan,,,,,,,,,,
1743805550.7716324,,,,,,,-0.18933105,0.05206299,0.98291016,,,,,,,
1743805550.7744060,819.15753,812.71063,809.89014,820.3663,nan,nan,,,,,,,,,,
1743805550.7783113,802.6374,796.1905,800.2198,834.87177,nan,nan,,,,,,,,,,
