timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743795374.9635568,794.57874,772.01465,792.1612,443.22345,nan,nan,,,,,,,,,,
1743795374.9674590,772.8205,799.81683,793.7729,349.34067,nan,nan,,,,,,,,,,
1743795374.9675369,,,,,,,,,,,,,,nan,306007100.0,nan
1743795374.9713609,804.2491,804.2491,795.78754,412.60074,nan,nan,,,,,,,,,,
1743795374.9752631,826.4103,789.7436,799.41394,496.41025,nan,nan,,,,,,,,,,
1743795374.9775772,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.9784358,,,,,,,-0.12219238,0.10046387,0.9887085,,,,,,,
1743795374.9791653,792.5641,771.2088,792.96704,432.74725,nan,nan,,,,,,,,,,
1743795374.9830675,747.4359,789.34064,782.0879,309.0476,nan,nan,,,,,,,,,,
1743795374.9831419,,,,,,,,,,,,,,nan,305957150.0,nan
1743795374.9869697,788.5348,800.6227,789.34064,347.32602,nan,nan,,,,,,,,,,
1743795374.9870195,,,,,,,,,,,,,35.11193,,,
1743795374.9908719,841.31866,792.1612,792.1612,452.49084,nan,nan,,,,,,,,,,
1743795374.9947741,814.7253,794.57874,794.17584,426.7033,nan,nan,,,,,,,,,,
1743795374.9980488,,,,,,,-0.12164307,0.10229492,0.9765625,,,,,,,
1743795374.9986763,778.0586,781.685,798.60803,310.65933,nan,nan,,,,,,,,,,
1743795374.9987471,,,,,,,,,,,,,,nan,306076400.0,nan
1743795375.0025783,784.10254,786.9231,793.7729,278.02197,nan,nan,,,,,,,,,,
1743795375.0064805,834.87177,792.5641,791.3553,390.03662,nan,nan,,,,,,,,,,
1743795375.0103827,841.31866,778.0586,786.9231,442.41757,nan,nan,,,,,,,,,,
1743795375.0126860,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795375.0142848,783.2967,772.8205,782.8938,327.98535,nan,nan,,,,,,,,,,
1743795375.0143521,,,,,,,,,,,,,,nan,306033700.0,nan
1743795375.0176618,,,,,,,-0.12133789,0.09893799,0.99108887,,,,,,,
1743795375.0181870,782.0879,795.78754,783.69965,251.8315,nan,nan,,,,,,,,,,
1743795375.0220892,823.9927,813.5165,783.2967,347.72894,nan,nan,,,,,,,,,,
1743795375.0259914,829.2308,795.78754,788.93774,417.03296,nan,nan,,,,,,,,,,
1743795375.0298934,790.14655,776.8498,795.38464,337.25275,nan,nan,,,,,,,,,,
1743795375.0299573,,,,,,,,,,,,,,nan,306098180.0,nan
1743795375.0337956,765.56775,786.52014,795.38464,253.0403,nan,nan,,,,,,,,,,
1743795375.0372748,,,,,,,-0.12591553,0.105529785,0.9866333,,,,,,,
1743795375.0376978,801.4286,806.26373,790.14655,335.2381,nan,nan,,,,,,,,,,
1743795375.0416000,832.8571,808.2784,778.0586,450.87912,nan,nan,,,,,,,,,,
1743795375.0455022,809.89014,781.685,790.54944,413.8095,nan,nan,,,,,,,,,,
1743795375.0455623,,,,,,,,,,,,,,nan,306139260.0,nan
1743795375.0477946,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795375.0494044,768.7912,759.12085,799.81683,304.6154,nan,nan,,,,,,,,,,
1743795375.0532482,,,,,,,,,,,,,35.11193,,,
1743795375.0533066,790.9524,786.9231,802.6374,337.65567,nan,nan,,,,,,,,,,
1743795375.0568879,,,,,,,-0.13220215,0.11920166,1.005127,,,,,,,
1743795375.0572088,835.2747,809.89014,814.7253,460.1465,nan,nan,,,,,,,,,,
1743795375.0611107,817.1429,792.5641,813.5165,459.7436,nan,nan,,,,,,,,,,
1743795375.0611675,,,,,,,,,,,,,,nan,306085280.0,nan
1743795375.0650129,768.7912,790.54944,806.26373,382.38095,nan,nan,,,,,,,,,,
1743795375.0689151,778.86444,809.89014,801.02563,373.9194,nan,nan,,,,,,,,,,
1743795375.0728173,830.84247,797.3993,803.44324,475.8608,nan,nan,,,,,,,,,,
1743795375.0765009,,,,,,,-0.14343262,0.11883545,1.008667,,,,,,,
1743795375.0767195,827.2161,790.9524,795.78754,542.74725,nan,nan,,,,,,,,,,
1743795375.0767725,,,,,,,,,,,,,,nan,306086880.0,nan
1743795375.0806217,797.8022,792.1612,792.1612,465.78754,nan,nan,,,,,,,,,,
1743795375.0829031,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795375.0845239,790.9524,789.7436,798.60803,425.09158,nan,nan,,,,,,,,,,
